//Номер(ID)	Название	Тип судна	Номер(ID) вида в таблице	Номер дейсвий	Корпус	Двигатель	Лук(Нос)	Артиллерия(Оружие на коробле)	Аксессуары	Предел уровная	Ограничение по профессиям	Прочность судна	Восстоновление судна	Защита судна	Сопротивление судна	Мин. атака судна	Макс. атака судна	Диапозон атаки	Типы атаки	Диапозон взрыва корпуса	Вместимость трюма	Кол-во топлива	Потребление топлива	Степень скорости судна	Скорость судна	Описание (Уровень судна)	Замечания
0001	Гуппи	3988	305	405	43	15,16	8,9,10	53,54,55	73,74	15	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0002	Транспорт типа I	3988	306	405	44	17,18	11,12,13	56,57,58	73,74	20	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0003	Летучая рыбка	3988	307	405	45	19,20	14,113,114	59,60,61	73,74	30	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0004	Черепаха	3988	308	405	46	146,147	124,125,126	71,72,157	73,74	15	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0005	Ветролов	3988	309	405	47	148,149	127,128,129	158,159,160	73,74	20	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0006	Рыба-меч	3988	310	405	48	150,151	130,131,132	161,162,163	73,74	30	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0007	Низкоур. лодка 7	3988	432	0	49	109	99	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0008	Судно 8	3988	432	0	50	110	100	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0009	Судно 9	3988	432	0	51	111	101	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0010	Судно 10	3988	432	0	52	112	102	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0011	Призрачная галера	3988	301	401	1	21,142	115,116,117,118	62,63,64	73,74,75	35	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0012	Серебряный дельфин	3988	301	401	2	143,144	117,118,119,120,121	65,66,67	73,73	40	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0013	Огромная белая акула	3988	301	401	3	145	120,121,122,123	68,69,70	73,74	45	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0014	Реактивная галера	3988	302	402	4	152,153	133,134,135	164,165,166	73,74,76	35	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0015	Богиня	3988	302	402	5	154,155	136,137,138	167,168,169	73,74	40	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0016	Орел	3988	303	403	6	156	139,140,141	170,171,172	73,74,76	45	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0017	Ковчег	3988	304	404	7	21	14	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
